Country,Longitude,Latitude,Suicide_067_068,CardiacArrest_067_068,TrafficAccident_067_068,NaturalDeath_067_068,HeartAttack_067_068,Murder_067_068,WorkplaceAccident_067_068,Other_067_068,Total_067_068,Suicide_068_069,CardiacArrest_068_069,TrafficAccident_068_069,NaturalDeath_068_069,HeartAttack_068_069,Murder_068_069,WorkplaceAccident_068_069,Other_068_069,Total_068_069,Suicide_069_070,CardiacArrest_069_070,TrafficAccident_069_070,NaturalDeath_069_070,HeartAttack_069_070,Murder_069_070,WorkplaceAccident_069_070,Other_069_070,Total_069_070,Suicide_070_071,CardiacArrest_070_071,TrafficAccident_070_071,NaturalDeath_070_071,HeartAttack_070_071,Murder_070_071,WorkplaceAccident_070_071,Other_070_071,Total_070_071,Suicide_071_071,CardiacArrest_071_071,TrafficAccident_071_071,NaturalDeath_071_071,HeartAttack_071_071,Murder_071_071,WorkplaceAccident_071_071,Other_071_071,Total_071_071,Suicide_071_071_Forecast,CardiacArrest_071_071_Forecast,TrafficAccident_071_071_Forecast,NaturalDeath_071_071_Forecast,HeartAttack_071_071_Forecast,Murder_071_071_Forecast,WorkplaceAccident_071_071_Forecast,Other_071_071_Forecast,Total_071_071_Forecast,Suicide_Total,CardiacArrest_Total,TrafficAccident_Total,NaturalDeath_Total,HeartAttack_Total,Murder_Total,WorkplaceAccident_Total,Other_Total,Country_Total
AFG,69.160652,34.543896,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,3,0,3,0,0,0,0,0,2,5,0,2,0,0,1,0,0,4,7
BHR,50.5577,26.0667,1,0,1,8,0,0,2,0,12,0,0,3,5,0,0,0,0,8,1,0,3,7,0,0,2,1,14,1,1,2,3,0,0,1,0,8,1,3,1,2,1,0,0,1,9,2,5,2,3,2,0,0,2,14,4,4,10,25,1,0,5,2,51
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ISR,34.851612,31.046051,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,6
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
JPN,140.252924,39.004824,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,1,2,1,2,0,0,0,7
KWT,47.481766,29.31166,3,1,1,2,1,1,1,0,10,3,0,3,1,9,0,1,5,22,3,0,5,0,7,0,0,7,22,9,3,4,2,17,0,0,4,39,5,1,7,1,6,0,0,0,20,8,2,11,2,9,0,0,0,30,23,5,20,6,40,1,2,16,113
LBN,35.862285,33.854721,1,0,0,2,0,0,1,0,4,2,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,2,0,12
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYS,102.538116,3.519863,37,14,2,28,30,19,38,51,219,27,31,15,10,20,0,9,125,237,34,14,11,4,12,0,2,176,253,41,61,17,7,28,0,24,125,303,31,88,18,48,23,0,31,35,274,47,132,27,72,35,0,47,53,411,170,208,63,97,113,19,104,512,1286
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
OMN,58.54,22.61,0,0,0,1,0,0,0,0,1,2,0,2,1,0,0,1,0,6,1,0,1,4,0,0,0,1,7,0,2,3,2,1,0,1,5,14,0,2,0,0,0,0,0,1,3,0,3,0,0,0,0,0,2,5,3,4,6,8,1,0,2,7,31
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
QAT,51.183884,24.824826,8,69,9,9,9,18,2,1,125,7,83,13,2,1,1,3,20,130,15,81,5,0,4,2,4,40,151,12,85,7,16,12,1,29,45,207,7,44,6,13,6,0,15,5,96,11,66,9,20,9,0,23,8,144,49,362,40,40,32,22,53,111,709
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,1,3
SAU,41.079162,25.485942,8,7,40,58,3,0,14,3,133,14,4,59,75,2,1,21,3,179,17,4,71,80,3,0,17,14,206,18,8,65,94,6,0,21,7,219,23,11,39,76,8,0,15,1,173,35,17,59,114,12,0,23,2,260,80,34,274,383,22,1,88,28,910
KOR,127.766922,35.907757,3,0,1,0,1,0,0,1,6,3,0,0,1,0,0,0,2,6,3,2,1,1,1,0,0,6,14,2,1,4,0,1,0,1,5,14,1,1,3,1,1,0,0,0,7,2,2,5,2,2,0,0,0,11,12,4,9,3,4,0,1,14,47
LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
